mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_mean_14,mfcc_mean_15,mfcc_mean_16,mfcc_mean_17,mfcc_mean_18,mfcc_mean_19,mfcc_var_0,mfcc_var_1,mfcc_var_2,mfcc_var_3,mfcc_var_4,mfcc_var_5,mfcc_var_6,mfcc_var_7,mfcc_var_8,mfcc_var_9,mfcc_var_10,mfcc_var_11,mfcc_var_12,mfcc_var_13,mfcc_var_14,mfcc_var_15,mfcc_var_16,mfcc_var_17,mfcc_var_18,mfcc_var_19,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_var_0,chroma_var_1,chroma_var_2,chroma_var_3,chroma_var_4,chroma_var_5,chroma_var_6,chroma_var_7,chroma_var_8,chroma_var_9,chroma_var_10,chroma_var_11,contrast_mean_0,contrast_mean_1,contrast_mean_2,contrast_mean_3,contrast_mean_4,contrast_mean_5,contrast_mean_6,contrast_var_0,contrast_var_1,contrast_var_2,contrast_var_3,contrast_var_4,contrast_var_5,contrast_var_6,zcr_mean,zcr_var,tempo,filename,label
-113.619385,121.55302,-19.151056,42.345768,-6.3711677,18.613033,-13.69206,15.339378,-12.283618,10.973775,-8.32241,8.8067875,-3.6658018,5.745939,-5.161711,0.75029796,-1.6883581,-0.4093285,-2.298869,1.2199471,2570.8127,295.7244,235.57982,150.83536,168.02463,89.169586,67.60479,69.06307,82.152504,63.40047,61.810535,51.292,41.25163,40.56098,49.823498,52.464138,36.564606,41.643623,55.076675,46.975636,0.36172685,0.36761868,0.43998006,0.24463451,0.2478018,0.33561543,0.36457598,0.435647,0.29584122,0.31463376,0.40656036,0.38477036,0.106695876,0.08179195,0.100077346,0.044680335,0.065713,0.083589114,0.076904796,0.11989485,0.064416535,0.07854175,0.110691085,0.08559209,15.987602688701612,15.102477692088824,18.458409057377718,18.363125053822007,18.9187388027038,17.190236092452114,39.66757667158581,18.81182504817126,17.587446824565163,21.34576745737134,13.168848768938838,12.157740129278059,6.358352326066669,9.19403589820252,0.08306639113293343,0.0007667342953635373,123.046875,blues.00000.wav,blues
-207.58151,123.99715,8.939115,35.870758,2.9199705,21.518787,-8.555368,23.355938,-10.101037,11.906445,-5.5581226,5.375942,-2.237833,4.217125,-6.0110474,0.93266803,-0.7170279,0.29233336,-0.2857169,0.53214425,7770.7725,560.163,572.70013,264.85532,280.0475,156.47044,200.96965,142.3725,166.23213,104.358574,105.223694,96.29922,64.90086,73.177956,52.484993,55.364296,60.113293,48.13774,51.13121,45.823235,0.45962235,0.34987718,0.3209686,0.21158591,0.20090792,0.3310051,0.39764693,0.56067634,0.3843792,0.25547373,0.28495902,0.33423826,0.14246184,0.08815949,0.09510375,0.052355368,0.0436944,0.09669626,0.07978918,0.13452265,0.08721448,0.054389417,0.07787302,0.07248299,15.984914561002014,17.0562328248644,19.129323982388623,19.18787122800779,18.324038624421977,17.50447952941415,37.51898531757912,17.59857741300241,21.248581226020974,23.163108906317852,18.355889876053425,12.306072510180845,9.807632788425899,33.83989450508889,0.056044256724071206,0.0014485033470784323,107.666015625,blues.00001.wav,blues
-90.77634,140.44861,-29.10056,31.68734,-13.975971,25.741686,-13.644712,11.623112,-11.77592,9.700466,-13.115349,5.7857633,-8.899733,-1.0870236,-9.216774,2.4536483,-7.721793,-1.8164973,-3.434354,-2.2313912,3319.7937,509.11203,411.987,144.14764,156.01558,74.46932,106.68324,106.62771,65.68542,67.845474,57.646435,64.60155,60.47645,57.744473,36.467384,40.620197,47.70028,52.418175,46.630066,30.626228,0.2726714,0.19586878,0.31525424,0.40813482,0.5470826,0.32177535,0.30478692,0.28851688,0.33424202,0.40191102,0.38430807,0.5881897,0.044675406,0.032745205,0.07377219,0.073621124,0.122636385,0.05561625,0.05850592,0.06323321,0.061182044,0.111040585,0.063291095,0.12457397,26.33225553065585,14.191932556756637,17.706643575580642,19.417249535025636,20.344435037793545,18.314964839749916,39.035077300462454,30.255640911164928,15.728590941691278,25.0111913088376,17.54230386718499,14.32301561403703,8.54349018037514,10.68625921325365,0.07630074799245357,0.0010072891555751452,161.4990234375,blues.00002.wav,blues
-199.462,150.09473,5.649167,26.870144,1.7554406,14.23688,-4.8288727,9.297849,-0.7531419,8.147393,-3.1952357,6.085354,-2.4761882,-1.0762246,-2.8760564,0.7769088,-3.3200555,0.6372629,-0.6175069,-3.40694,5495.972,456.56662,257.0472,158.19778,267.90213,126.88233,156.06218,81.17086,92.361916,71.22305,110.32542,48.18353,56.813396,62.254208,51.64638,44.456993,50.23697,37.351917,37.291164,31.988441,0.34086183,0.40857694,0.5245686,0.54707444,0.6571128,0.51167107,0.3556304,0.25169015,0.24638645,0.3152089,0.31654343,0.38285515,0.062346876,0.05629164,0.10639859,0.09215992,0.119114004,0.092093095,0.05369943,0.039780434,0.046278108,0.08634066,0.07901172,0.11367617,29.797804247563928,14.765636719360783,17.239783565071527,18.63621706926385,18.49075823426367,16.790485158755587,34.27801571154383,25.59060379456196,16.50506861664365,17.84251729693157,10.989704870240466,11.077410803297601,5.298662083143398,21.43913938234421,0.03330894446594427,0.0004230743810646026,172.265625,blues.00003.wav,blues
-160.29185,126.19576,-35.6025,22.151169,-32.48764,10.862022,-23.357162,0.5005233,-11.80477,1.2038777,-13.085074,-2.8098488,-6.935621,-7.5592937,-9.172152,-4.5104084,-5.4537363,-0.92446774,-4.408076,-11.701833,5198.1445,853.7379,333.71176,193.67331,336.45108,134.79674,93.30083,124.761475,129.98872,99.795204,80.303085,86.49203,89.61349,70.93246,75.76922,86.01278,75.32818,53.577557,62.928513,55.215122,0.19272667,0.31723168,0.39155146,0.25590554,0.19280396,0.53058165,0.2539423,0.13921541,0.27655512,0.32433578,0.55529773,0.27302992,0.03814644,0.1036368,0.097205564,0.07541375,0.03210705,0.13126764,0.043002818,0.031377256,0.09210708,0.054605816,0.12668195,0.047731116,17.057412884710494,15.693513459090605,19.12555886683112,20.526383065422213,20.785517461022902,19.713926518666607,37.33880412136976,18.7820841117217,15.866932519030545,16.824379149002475,18.725384182502722,16.572138737663686,13.752672513316703,26.264156615968968,0.1015001421004257,0.001953508818485157,135.99917763157896,blues.00004.wav,blues
-177.88876,118.18953,-17.55073,30.753101,-21.732107,11.898545,-20.73228,3.176169,-8.575771,-0.9401843,-11.773799,-2.426076,-9.342486,-9.947082,-3.9053469,-5.568541,-1.839969,-2.7841752,-3.046112,-8.115228,7303.5063,3197.6096,654.1477,485.98712,433.48105,266.0905,169.8476,133.68483,172.33148,100.12965,76.59605,78.50408,80.13263,47.553093,60.051342,72.581894,68.719826,42.46666,39.829174,46.29248,0.23830758,0.30017722,0.61689025,0.23552348,0.123921186,0.24363397,0.2795121,0.41132158,0.24399377,0.2856127,0.28419915,0.36587498,0.08367507,0.04597578,0.14673012,0.027052714,0.018856315,0.07657303,0.06600152,0.113239475,0.05537554,0.07930133,0.081074774,0.0936502,17.47173427154148,19.563742281296186,21.294820438166678,21.350197303286826,20.782888052062248,19.40352798039331,37.94590337195688,23.013002941581927,28.73578322862812,30.528007651144577,23.585200834180966,16.785193459900334,11.786943822146904,45.985546809314854,0.09403986975135449,0.006237169845177415,112.34714673913044,blues.00005.wav,blues
-190.17502,130.29242,-36.348473,33.02909,11.085681,-0.5963726,-20.882357,0.27711606,-6.5008707,-5.5156236,-7.8452888,-3.123599,-6.595715,-9.947578,-6.540925,-10.071382,-10.912119,-6.970003,-3.4485128,-6.4984574,9646.426,1934.4312,1307.6438,480.32092,1083.5884,280.22363,151.6883,102.89618,131.14716,153.48946,87.57829,64.22462,79.16399,63.074352,86.41678,83.32279,56.937706,38.267597,48.093582,70.01958,0.42547888,0.22330672,0.1313038,0.15264678,0.24185762,0.4910733,0.24560356,0.16917841,0.2882331,0.46142802,0.35944873,0.30730906,0.1338809,0.06118583,0.035184767,0.04779536,0.047038794,0.14850555,0.05966768,0.037495375,0.08776797,0.12465284,0.11093338,0.07326419,24.761686388889366,21.07530470251667,22.20890664723946,21.261253966206972,21.647741736833122,20.145598260935973,32.880478388843535,45.458530703769156,33.66762547395993,34.13279671064444,23.799896079438934,18.95826854823906,12.897147437356656,61.257356450062446,0.07302790308146284,0.0019095948180740175,123.046875,blues.00006.wav,blues
-179.42007,136.4421,-26.644339,39.97959,5.3018146,10.921237,-20.555347,8.507477,-11.35436,-3.4690976,-8.414114,-6.956977,-3.5483484,-8.051683,-8.960485,-8.421077,-10.5585985,-10.790194,-4.7007947,-8.638816,6575.454,1479.9728,590.97736,353.15915,650.4475,136.36313,163.70146,151.47868,172.0249,178.41544,147.66684,83.777534,93.33137,57.466633,82.29772,70.477,52.032326,60.5192,65.58995,56.33534,0.25941816,0.26425815,0.32541996,0.21780178,0.21512055,0.2952168,0.19004409,0.18086505,0.26435012,0.39014104,0.648551,0.43658763,0.06250722,0.089322634,0.093933605,0.07142247,0.065363765,0.08376241,0.046029575,0.05744724,0.07873161,0.072661884,0.123119764,0.07715202,20.215365526323623,20.094576698389947,20.711897948475954,19.629865396658026,20.705410723231054,19.60440192458332,36.12081799513814,20.696270203313084,21.120795720039318,25.02448766667796,20.93006824359355,16.38853875316629,10.699247208227746,32.7337962874672,0.06143500266060371,0.001850010001473945,92.28515625,blues.00007.wav,blues
-121.387115,122.505394,-14.739394,46.135292,-8.160384,20.17051,-19.169321,23.050188,-11.82594,21.17341,-6.7202907,7.0050187,-12.739909,5.064209,-5.173075,-1.446995,-7.036928,2.6948745,3.4093323,-2.6991909,2621.6409,414.72916,341.3917,193.81631,176.72322,106.99097,57.671753,76.91382,42.480625,58.431217,48.960136,56.24636,61.89646,50.54634,32.82994,50.560787,28.892342,36.93147,33.72412,36.09725,0.3195211,0.304665,0.3668322,0.4223385,0.5240038,0.45069423,0.4935221,0.3529855,0.3803428,0.46188274,0.36648217,0.4647075,0.052900422,0.053795546,0.08356674,0.075566985,0.12332349,0.089824915,0.107529856,0.06598061,0.070154205,0.09444189,0.06877806,0.097750634,29.493772582869763,15.129731925950475,17.020851583382814,17.03142049834697,19.69371660973148,17.621792078515444,40.62273896813749,26.419530669814442,16.34086541946628,20.02886454125473,11.786924544092305,14.395623698235767,6.305937866154526,6.856877938992981,0.06402757957623839,0.0007318890633277895,83.35433467741936,blues.00008.wav,blues
-213.20453,115.15454,-11.720503,39.032555,-20.357819,13.089926,-9.180815,9.023639,-14.101023,4.283337,-6.044196,3.786368,0.22368738,-5.114481,-0.4145369,-1.1848985,-1.9183391,-2.2957964,2.89123,-4.2345333,6133.131,798.7533,668.95465,350.8248,532.3013,278.38568,126.54537,67.952324,110.166046,92.49028,84.86531,104.4943,76.40331,85.41577,104.041725,59.331203,58.489872,83.17791,77.03899,91.51976,0.24841243,0.27330634,0.48874453,0.26811466,0.17957151,0.2677973,0.22273743,0.41564554,0.27288088,0.18116428,0.22930472,0.24049188,0.087579824,0.08576885,0.15305725,0.059149668,0.044487868,0.10786896,0.047412325,0.14531137,0.07008805,0.047180478,0.09375271,0.0760696,14.330905860745972,17.63960709820347,21.926797282717327,20.2309716071656,18.564728908036567,18.909647349158625,36.50457567144057,16.493258314160272,20.973242243665702,23.60523272874136,16.101467983574967,13.058995070566251,17.283302221541746,28.052116715657753,0.0792153184258901,0.001376557806953003,129.19921875,blues.00009.wav,blues
